date,hour,Incident,Line,Direction,Cause,Delay,delay_collapsed
2013-05-29,22, A Fort Totten-bound Yellow Line train at Huntington was delayed 9 minutes due to scheduled track work.,Yellow,Fort Totten,scheduled track work,9,9
2013-05-29,23, A Branch Avenue-bound Green Line train at Greenbelt was delayed 20 minutes due to an operational problem.,Green,Branch Avenue,an operational problem,20,20
2013-05-30,7, A Largo Town Center-bound Blue Line train at Federal Triangle was offloaded due to a brake problem. Customers experienced a 12-minute delay.,Blue,Largo Town Center,a brake problem,12,12
2013-05-30,9, A Franconia-Springfield-bound Blue Line train at Addison Road was offloaded due to a brake problem. Customers experienced a 9-minute delay.,Blue,Franconia-Springfield,a brake problem,9,9
2013-05-30,10, A Glenmont-bound Red Line train at Rhode Island Avenue was offloaded due to a door problem. Customers experienced an 11-minute delay.,Red,Glenmont,a door problem,11,11
2013-05-30,13, A Greenbelt-bound Green Line train at College Park was delayed 6 minutes due to a track problem.,Green,Greenbelt,a track problem,6,6
2013-05-30,15, A Glenmont-bound Red Line train at NoMa-Gallaudet was offloaded due to an equipment problem. Customers experienced a 6-minute delay.,Red,Glenmont,an equipment problem,6,16
2013-05-30,16, A Glenmont-bound Red Line train at Wheaton was expressed for schedule adherence/improved train spacing.,Red,Glenmont,expressed for schedule adherence/improved train spacing,,9
2013-05-30,17, A Largo Town Center-bound Blue Line train at Federal Triangle was offloaded due to an operational problem. Customers experienced an 11-minute delay.,Blue,Largo Town Center,an operational problem,11,23
2013-05-30,19, A Fort Totten-bound Yellow Line train at Georgia Avenue was offloaded due to a brake problem. Customers experienced an 11-minute delay.,Yellow,Fort Totten,a brake problem,11,11
2013-05-30,20, A Largo Town Center-bound Blue Line train at Arlington Cemetery was offloaded due to a door problem. Customers experienced a 12-minute delay.,Blue,Largo Town Center,a door problem,12,12
2013-05-30,22, A Largo Town Center-bound Blue Line train at Pentagon City was delayed 4 minutes due to a door problem.,Blue,Largo Town Center,a door problem,4,4
2013-05-31,5, A Largo Town Center-bound Blue Line train at Franconia-Springfield was delayed 5 minutes due to a track problem.,Blue,Largo Town Center,a track problem,5,16
2013-05-31,7," A Vienna-bound Orange Line train at West Falls Church did not operate, resulting in a 6-minute gap in service.",Orange,Vienna,did not operate,6,6
2013-05-31,11, A Greenbelt-bound Green Line train at Columbia Heights was offloaded due to an equipment problem. Customers experienced a 12-minute delay.,Green,Greenbelt,an equipment problem,12,12
2013-05-31,12, A Shady Grove-bound Red Line train at Rhode Island Avenue was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Red,Shady Grove,a brake problem,6,6
2013-05-31,14, A Shady Grove-bound Red Line train at Takoma was offloaded due to an equipment problem. Customers experienced a 4-minute delay.,Red,Shady Grove,an equipment problem,4,4
2013-05-31,15, A Largo Town Center-bound Blue Line train at Pentagon City was offloaded due to an equipment problem. Customers experienced an 8-minute delay.,Blue,Largo Town Center,an equipment problem,8,8
2013-05-31,16, A New Carrollton-bound Orange Line train at Rosslyn was changed to A Largo Town Center-bound Blue Line train for schedule adherence/improved train spacing.,Orange,New Carrollton-bound Orange Line train at Rosslyn was changed to A Largo Town Center,,,7
2013-05-31,18, A Branch Avenue-bound Green Line train at L’Enfant Plaza was delayed 5 minutes due to police activity.,Green,Branch Avenue,police activity,5,5
2013-05-31,22, A Shady Grove-bound Red Line train at Judiciary Square was delayed 31 minutes due to an equipment problem.,Red,Shady Grove,an equipment problem,31,31
2013-06-01,7, A Silver Spring-bound Red Line train at Van Ness was offloaded due to an equipment problem. Customers experienced a 3-minute delay.,Red,Silver Spring,an equipment problem,3,3
2013-06-01,17, A Largo Town Center-bound Blue Line train at King Street was offloaded due to a brake problem. A gap train was placed in service at King Street to mitigate the delay. Customers experienced a 5-minute delay.,Blue,Largo Town Center,a brake problem,5,5
2013-06-01,18, A Branch Avenue-bound Green Line train at Anacostia was delayed 5 minutes due to police activity.,Green,Branch Avenue,police activity,5,13
2013-06-01,22, A New Carrollton-bound Orange Line train at Potomac Avenue was offloaded due to police activity. Customers experienced a 25-minute delay.,Orange,New Carrollton,police activity,25,25
2013-06-01,23, A Shady Grove-bound Red Line train at Woodley Park was offloaded due to a brake problem. Customers experienced a 15-minute delay.,Red,Shady Grove,a brake problem,15,15
2013-06-02,0, A Shady Grove-bound Red Line train at Gallery Place was delayed 4 minutes due to a brake problem.,Red,Shady Grove,a brake problem,4,4
2013-06-02,8, A Franconia-Springfield-bound Blue Line train at Ronald Reagan Washington National Airport was delayed 5 minutes due to a door problem.,Blue,Franconia-Springfield,a door problem,5,27
2013-06-02,15, A Huntington-bound Yellow Line train at Pentagon was delayed 5 minutes due to police activity.,Yellow,Huntington,police activity,5,5
2013-06-02,17, A Shady Grove-bound Red Line train at Glenmont was delayed 7 minutes due to a brake problem.,Red,Shady Grove,a brake problem,7,7
2013-06-02,18, A Glenmont-bound Red Line train at Woodley Park was offloaded due to a brake problem. Customers experienced a 10-minute delay.,Red,Glenmont,a brake problem,10,22
2013-06-02,20, A Shady Grove-bound Red Line train at Metro Center was delayed 5 minutes due to police activity.,Red,Shady Grove,police activity,5,5
2013-06-03,6, A Greenbelt-bound Green Line train at Southern Avenue was delayed 10 minutes due to a signal problem.,Green,Greenbelt,a signal problem,10,10
2013-06-03,8, A Branch Avenue-bound Green Line train at Suitland was expressed for schedule adherence/improved train spacing.,Green,Branch Avenue,expressed for schedule adherence/improved train spacing,,25
2013-06-03,9, A Huntington-bound Yellow Line train at Braddock Road was delayed 8 minutes due to a door problem.,Yellow,Huntington,a door problem,8,8
2013-06-03,13," A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 5-minute gap in service.",Orange,Vienna,did not operate,5,5
2013-06-03,15," Due to a signal problem at Vienna, Orange Line customers experienced delays of 20-30 minutes in both directions until approximately 7:30 p.m. Some trains were offloaded and turned back for schedule adherence/improved train spacing.",Orange,both directions,a signal problem at Vienna,,
2013-06-03,18, A Branch Avenue-bound Green Line train at Southern Avenue was expressed for schedule adherence/improved train spacing.,Green,Branch Avenue,expressed for schedule adherence/improved train spacing,,7
2013-06-03,19, A Shady Grove-bound Red Line train at Silver Spring was offloaded due to an equipment problem. Customers experienced a 5-minute delay.,Red,Shady Grove,an equipment problem,5,5
2013-06-03,21, A Fort Totten-bound Yellow Line train at Huntington was delayed 10 minutes due to an equipment problem.,Yellow,Fort Totten,an equipment problem,10,16
2013-06-04,8, A Silver Spring-bound Red Line train at Bethesda was offloaded due to an equipment problem. Customers experienced a 3-minute delay.,Red,Silver Spring,an equipment problem,3,3
2013-06-04,9, A New Carrollton-bound Orange Line train at Farragut West was delayed 5 minutes due to a sick customer.,Orange,New Carrollton,a sick customer,5,5
2013-06-04,10, A Shady Grove-bound Red Line train at White Flint was offloaded due to a door problem. Customers experienced a 6-minute delay.,Red,Shady Grove,a door problem,6,6
2013-06-04,12, A Glenmont-bound Red Line train at Takoma was expressed for schedule adherence/improved train spacing.,Red,Glenmont,expressed for schedule adherence/improved train spacing,,
2013-06-04,15, A Huntington-bound Yellow Line train at College Park was delayed 7 minutes due to a smoldering cross tie.,Yellow,Huntington,a smoldering cross tie,7,7
2013-06-04,16, A Branch Avenue-bound Green Line train at Southern Avenue was expressed for schedule adherence/improved train spacing.,Green,Branch Avenue,expressed for schedule adherence/improved train spacing,,30
2013-06-04,17, A Vienna-bound Orange Line train at Court House was offloaded due to a brake problem. Customers experienced a 9-minute delay.,Orange,Vienna,a brake problem,9,18
2013-06-04,18, A Branch Avenue-bound Green Line train at Southern Avenue was offloaded and turned back for schedule adherence/improved train spacing.,Green,Branch Avenue,was offloaded and turned back for schedule adherence/improved train spacing,,
2013-06-04,20, A Vienna-bound Orange Line train at McPherson Square was offloaded due to a door problem. Customers experienced a 7-minute delay.,Orange,Vienna,a door problem,7,12
2013-06-05,0, A Franconia-Springfield-bound Blue Line train at Braddock Road was delayed 17 minutes due to a signal problem.,Blue,Franconia-Springfield,a signal problem,17,17
2013-06-05,7, A Branch Avenue-bound Green Line train at Prince George's Plaza was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Green,Branch Avenue,a brake problem,6,6
2013-06-05,8, A Branch Avenue-bound Green Line train at Georgia Avenue was offloaded and turned back for schedule adherence/improved train spacing.,Green,Branch Avenue,was offloaded and turned back for schedule adherence/improved train spacing,,43
2013-06-05,12, A Fort Totten-bound Yellow Line train at U Street was offloaded due to an operational problem. Customers experienced a 3-minute delay.,Yellow,Fort Totten,an operational problem,3,3
2013-06-05,15, A Glenmont-bound Red Line train at Twinbrook was offloaded due to an equipment problem. Customers experienced a 6-minute delay.,Red,Glenmont,an equipment problem,6,6
2013-06-05,17," A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service.",Orange,Vienna,did not operate,6,6
2013-06-05,18, A Greenbelt-bound Green Line train at Gallery Place was offloaded due to a door problem. Customers experienced a 9-minute delay.,Green,Greenbelt,a door problem,9,9
2013-06-05,20, A Branch Avenue-bound Green Line train at Naylor Road was expressed for schedule adherence/improved train spacing.,Green,Branch Avenue,expressed for schedule adherence/improved train spacing,,
2013-06-06,6, A Mt. Vernon Sq-bound Yellow Line train at Eisenhower Avenue was offloaded due to a brake problem. Customers experienced an 11-minute delay.,Yellow,Mt. Vernon Sq,a brake problem,11,17
2013-06-06,7, A Franconia-Springfield-bound Blue Line train at Federal Triangle was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Blue,Franconia-Springfield,a brake problem,6,16
2013-06-06,8," A Mt. Vernon Sq-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service.",Yellow,Mt. Vernon Sq,did not operate,6,6
2013-06-06,9, A Shady Grove-bound Red Line train at Dupont Circle was offloaded due to a door problem. Customers experienced a 9-minute delay.,Red,Shady Grove,a door problem,9,9
2013-06-06,10, A Glenmont-bound Red Line train at Brookland was expressed for schedule adherence/improved train spacing.,Red,Glenmont,expressed for schedule adherence/improved train spacing,,7
2013-06-06,11, A Glenmont-bound Red Line train at Fort Totten was delayed due to a signal problem. Several trains were single tracked around the incident. Customers experienced delays of 20-30 minutes in both directions until approximately 11:45 a.m.,Red,Glenmont,a signal problem,,
2013-06-06,15, A Glenmont-bound Red Line train at Forest Glen was expressed for schedule adherence/improved train spacing.,Red,Glenmont,expressed for schedule adherence/improved train spacing,,6
2013-06-06,16, A Largo Town Center-bound Blue Line train at Pentagon City was offloaded due to a door problem. Customers experienced a 9-minute delay.,Blue,Largo Town Center,a door problem,9,9
2013-06-06,17," A Huntington-bound Yellow Line train at Mt. Vernon Square did not operate, resulting in a 6-minute gap in service.",Yellow,Huntington,did not operate,6,12
2013-06-06,19, A Greenbelt-bound Green Line train at College Park was expressed for schedule adherence/improved train spacing.,Green,Greenbelt,expressed for schedule adherence/improved train spacing,,16
2013-06-06,23, A Greenbelt-bound Green Line train at Congress Heights was delayed 7 minutes due to a sick customer.,Green,Greenbelt,a sick customer,7,7
2013-06-07,6," A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service.",Orange,New Carrollton,did not operate,6,6
2013-06-07,7, A Silver Spring-bound Red Line train at Twinbrook was offloaded due to a brake problem. Customers experienced a 5-minute delay.,Red,Silver Spring,a brake problem,5,27
2013-06-07,8," A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service.",Orange,New Carrollton,did not operate,6,6
2013-06-07,9, A Branch Avenue-bound Green Line train at Columbia Heights was offloaded due to a door problem. Customers experienced a 6-minute delay.,Green,Branch Avenue,a door problem,6,6
2013-06-07,12, A Vienna-bound Orange Line train at Federal Center SW was delayed 5 minutes due to a sick customer.,Orange,Vienna,a sick customer,5,5
2013-06-07,13, A Glenmont-bound Red Line train at Wheaton was delayed 12 minutes due to a signal problem.,Red,Glenmont,a signal problem,12,12
2013-06-07,18, A Glenmont-bound Red Line train at Forest Glen was offloaded due to a brake problem. Customers experienced a 4-minute delay.,Red,Glenmont,a brake problem,4,4
2013-06-08,2, A Shady Grove-bound Red Line train approaching Silver Spring was delayed 4 minutes due to smoldering debris on the track.,Red,Shady Grove,smoldering debris on the track,4,4
2013-06-08,8, A Greenbelt-bound Green Line train at Fort Totten was offloaded due to a brake problem. Customers experienced a 24-minute delay.,Green,Greenbelt,a brake problem,24,24
2013-06-08,11, A Glenmont-bound Red Line train at Shady Grove was delayed 5 minutes due to a brake problem.,Red,Glenmont,a brake problem,5,5
2013-06-08,15, A Branch Avenue-bound Green Line train at Gallery Place was delayed 5 minutes due to a door problem.,Green,Branch Avenue,a door problem,5,5
2013-06-08,16, A Huntington-bound Yellow Line train at Ronald Reagan Washington National Airport was offloaded due to an equipment problem. A gap train was placed in service to mitigate the delay. Customers experienced a 3-minute delay.,Yellow,Huntington,an equipment problem,3,3
2013-06-08,17, A Franconia-Springfield-bound Blue Line train at King Street was offloaded due to a brake problem. Customers experienced an 18-minute delay.,Blue,Franconia-Springfield,a brake problem,18,18
2013-06-09,7, Blue & Yellow Line trains were single tracked between Ronald Reagan Washington National Airport and Arlington Cemetery on the Blue Line and L’Enfant Plaza on the Yellow Line until 11:30 a.m. due to disabled track equipment at Pentagon City. Customers experienced delays up to 20 minutes.,Yellow,,disabled track equipment at Pentagon City,20,24
2013-06-09,8, A Grosvenor-bound Red Line train at Dupont Circle was offloaded due to a brake problem. Customers experienced an 11-minute delay.,Red,Grosvenor,a brake problem,11,11
2013-06-09,16, A Huntington-bound Yellow Line train at Fort Totten was offloaded due to a door problem. Customers experienced an 18-minute delay.,Yellow,Huntington,a door problem,18,33
2013-06-09,19, A Vienna-bound Orange Line train at McPherson Square was offloaded due to a door problem. Customers experienced an 18-minute delay.,Orange,Vienna,a door problem,18,18
2013-06-09,21, A Largo Town Center-bound Blue Line train at Ronald Reagan Washington National Airport was offloaded due to an equipment problem. Customers experienced a 3-minute delay.,Blue,Largo Town Center,an equipment problem,3,3
2013-06-09,22, A Vienna-bound Orange Line train at Metro Center was offloaded due to an equipment problem. Customers experienced a 20-minute delay.,Orange,Vienna,an equipment problem,20,20
2013-06-10,7, A Vienna-bound Orange Line train at Eastern Market was offloaded due to a brake problem. Customers experienced a 4-minute delay.,Orange,Vienna,a brake problem,4,21
2013-06-10,8," A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service.",Green,Greenbelt,did not operate,6,23
2013-06-10,9, A Greenbelt-bound Green Line train at Naylor Road was offloaded due to an equipment problem. Customers experienced a 6-minute delay.,Green,Greenbelt,an equipment problem,6,24
2013-06-10,15, A Largo Town Center-bound Blue Line train at Foggy Bottom was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Blue,Largo Town Center,a brake problem,6,6
2013-06-10,16," A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service.",Green,Greenbelt,did not operate,6,13
2013-06-10,17," A Franconia-Springfield-bound Blue Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service.",Blue,Franconia-Springfield,did not operate,6,6
2013-06-10,18, A Vienna-bound Orange Line train at Clarendon was expressed for schedule adherence/improved train spacing.,Orange,Vienna,expressed for schedule adherence/improved train spacing,,
2013-06-10,23, A Shady Grove-bound Red Line train at Silver Spring was offloaded due to an equipment problem. Customers experienced a 19-minute delay.,Red,Shady Grove,an equipment problem,19,19
2013-06-11,5, A New Carrollton-bound Orange Line train at Vienna was delayed 7 minutes due to a signal problem.,Orange,New Carrollton,a signal problem,7,13
2013-06-11,6, A Largo Town Center-bound Blue Line train at Arlington Cemetery was offloaded due to a brake problem. Customers experienced a 12-minute delay.,Blue,Largo Town Center,a brake problem,12,12
2013-06-11,7, A Shady Grove-bound Red Line train at Brookland was offloaded due to a brake problem. Several trains were single tracked around the incident train. Customers experienced delays up to 25 minutes.,Red,Shady Grove,a brake problem,25,25
2013-06-11,8, A New Carrollton-bound Orange Line train at West Falls Church was offloaded due to an equipment problem. Customers experienced a 3-minute delay.,Orange,New Carrollton,an equipment problem,3,3
2013-06-11,11, A Greenbelt-bound Green Line train at Waterfront was delayed 7 minutes due to a door problem.,Green,Greenbelt,a door problem,7,16
2013-06-11,16, A Greenbelt-bound Yellow Line train at Van Dorn was delayed 4 minutes due to a door problem.,Yellow,Greenbelt,a door problem,4,4
2013-06-11,17, A Shady Grove-bound Red Line train at Bethesda was offloaded due to a brake problem. Customers experienced a 9-minute delay.,Red,Shady Grove,a brake problem,9,15
2013-06-11,18, A New Carrollton-bound Orange Line train at Federal Triangle was offloaded due to a brake problem. Customers experienced a 9-minute delay.,Orange,New Carrollton,a brake problem,9,9
2013-06-11,19, A New Carrollton-bound Orange Line train at Eastern Market was delayed 6 minutes due to a separated parent & child.,Orange,New Carrollton,a separated parent & child,6,6
2013-06-12,5, A Mt. Vernon Sq-bound Yellow Line train at Eisenhower Avenue was offloaded due to an equipment problem. Customers experienced a 12-minute delay.,Yellow,Mt. Vernon Sq,an equipment problem,12,12
2013-06-12,6, A Vienna-bound Orange Line train at Federal Triangle was offloaded due to a brake problem. Customers experienced an 8-minute delay.,Orange,Vienna,a brake problem,8,8
2013-06-12,7, A Silver Spring-bound Red Line train at Friendship Heights was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Red,Silver Spring,a brake problem,6,15
2013-06-12,8, A Huntington-bound Yellow Line train at Mt. Vernon Square was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Yellow,Huntington,a brake problem,6,6
2013-06-12,12, A Silver Spring-bound Red Line train at Tenleytown was offloaded due to a brake problem. Customers experienced a 7-minute delay.,Red,Silver Spring,a brake problem,7,7
2013-06-12,14, A New Carrollton-bound Orange Line train at Vienna was offloaded due to burning debris on the track. Several trains were single tracked around the incident train. Customers experienced a 15-minute delay.,Orange,New Carrollton,burning debris on the track,15,15
2013-06-12,15, A Greenbelt-bound Yellow Line train at Mt. Vernon Square was offloaded due to a door problem. Customers experienced a 5-minute delay.,Yellow,Greenbelt,a door problem,5,5
2013-06-12,16, A Shady Grove-bound Red Line train at Union Station was offloaded due to a brake problem. Customers experienced a 7-minute delay.,Red,Shady Grove,a brake problem,7,13
2013-06-12,17, A Branch Avenue-bound Green Line train at Southern Avenue was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Green,Branch Avenue,a brake problem,6,29
2013-06-12,18, A Branch Avenue-bound Green Line train at Naylor Road was expressed for schedule adherence/improved train spacing.,Green,Branch Avenue,expressed for schedule adherence/improved train spacing,,
2013-06-12,22, A Greenbelt-bound Green Line train at Fort Totten was delayed 5 minutes due to an equipment problem. An extra train was placed in service to help mitigate the delay.,Green,Greenbelt,an equipment problem,5,5
2013-06-13,7," A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service.",Green,Branch Avenue,did not operate,6,6
2013-06-13,8, A Branch Avenue-bound Green Line train at Greenbelt was delayed 10 minutes due to a signal problem.,Green,Branch Avenue,a signal problem,10,10
2013-06-13,15, A New Carrollton-bound Orange Line train at West Falls Church was delayed 4 minutes due to an equipment problem.,Orange,New Carrollton,an equipment problem,4,4
2013-06-13,16, A Shady Grove-bound Red Line train at Silver Spring was offloaded due to an equipment problem. Customers experienced a 9-minute delay.,Red,Shady Grove,an equipment problem,9,9
2013-06-13,17, A Silver Spring-bound Red Line train at Fort Totten was delayed 13 minutes due to a signal problem.,Red,Silver Spring,a signal problem,13,13
2013-06-13,18, A Branch Avenue-bound Green Line train at L’Enfant Plaza was delayed due to an arcing insulator. Several trains were single tracked around the incident train. Customers experienced a 15-minute delay.,Green,Branch Avenue,an arcing insulator,15,15
2013-06-13,19, A Shady Grove-bound Red Line train at Twinbrook was delayed 7 minutes due to a tree on the track.,Red,Shady Grove,a tree on the track,7,7
2013-06-14,5, A Branch Avenue-bound Green Line train at College Park was delayed 4 minutes due to a door problem.,Green,Branch Avenue,a door problem,4,4
2013-06-14,7, A Shady Grove-bound Red Line train at Friendship Heights was offloaded due to a brake problem. Customers experienced a 4-minute delay.,Red,Shady Grove,a brake problem,4,4
2013-06-14,9, A Vienna-bound Orange Line train at Landover was offloaded due to an equipment problem. Customers experienced a 19-minute delay. A gap train was placed in service to help mitigate the delay.,Orange,Vienna,an equipment problem,19,19
2013-06-14,12, A Shady Grove-bound Red Line train at Rockville was delayed 10 minutes due to a track problem. Several trains were single tracked around the incident train. Customers experienced a 10-minute delay.,Red,Shady Grove,a track problem,10,52
2013-06-14,13, A Shady Grove-bound Red Line train at Metro Center was delayed due to an equipment problem. Customers experienced a 4-minute delay.,Red,Shady Grove,an equipment problem,4,4
2013-06-14,15, A Branch Avenue-bound Green Line train at Greenbelt was delayed 5 minutes due to a brake problem.,Green,Branch Avenue,a brake problem,5,8
2013-06-14,16, A Branch Avenue-bound Green Line train at Georgia Avenue was offloaded due to an equipment problem. Customers experienced a 5-minute delay.,Green,Branch Avenue,an equipment problem,5,9
2013-06-14,17, A Greenbelt-bound Green Line train at Fort Totten was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Green,Greenbelt,a brake problem,6,13
2013-06-14,18, A Largo Town Center-bound Orange Line train at Stadium-Armory was offloaded due to an equipment problem. Customers experienced an 11-minute delay.,Orange,Largo Town Center,an equipment problem,11,19
2013-06-14,22, A New Carrollton-bound Orange Line train at Cheverly was delayed 6 minutes due to police activity.,Orange,New Carrollton,police activity,6,29
2013-06-14,23, A New Carrollton-bound Orange Line train at Cheverly was delayed 31 minutes due to a signal problem.,Orange,New Carrollton,a signal problem,31,51
2013-06-15,15, A Branch Avenue-bound Green Line train at Gallery Place was delayed 8 minutes due to a door problem.,Green,Branch Avenue,a door problem,8,8
2013-06-16,9, A Largo Town Center-bound Blue Line train at Farragut West was delayed 5 minutes due to a door problem.,Blue,Largo Town Center,a door problem,5,5
2013-06-16,10, A Franconia-Springfield-bound Blue Line train at Foggy Bottom was delayed 6 minutes due to a brake problem.,Blue,Franconia-Springfield,a brake problem,6,6
2013-06-16,14, A New Carrollton-bound Orange Line train at Cheverly was offloaded due to a brake problem. Customers experienced a 21-minute delay.,Orange,New Carrollton,a brake problem,21,21
2013-06-16,21, A Branch Avenue-bound Green Line train at Mt. Vernon Square was offloaded due to an equipment problem. Customers experienced a 6-minute delay.,Green,Branch Avenue,an equipment problem,6,6
2013-06-17,0, A Branch Avenue-bound Green Line train at Suitland was delayed 9 minutes due to police activity.,Green,Branch Avenue,police activity,9,9
2013-06-17,7, A Huntington-bound Yellow Line train at Pentagon was offloaded due to a brake problem. Customers experienced a 7-minute delay.,Yellow,Huntington,a brake problem,7,13
2013-06-17,8, A Largo Town Center-bound Blue Line train at Smithsonian was delayed 5 minutes due to a door problem.,Blue,Largo Town Center,a door problem,5,14
2013-06-17,9, A New Carrollton-bound Orange Line train at Court House was expressed for schedule adherence/improved train spacing.,Orange,New Carrollton,expressed for schedule adherence/improved train spacing,,
2013-06-17,12, A Franconia-Springfield-bound Blue Line train at Largo Town Center was delayed 4 minutes due to a door problem.,Blue,Franconia-Springfield,a door problem,4,4
2013-06-17,14, A Silver Spring-bound Red Line train at NoMa-Gallaudet was offloaded due to a brake problem. Customers experienced an 8-minute delay.,Red,Silver Spring,a brake problem,8,8
2013-06-17,15, A Glenmont-bound Red Line train at NoMa-Gallaudet was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Red,Glenmont,a brake problem,6,6
2013-06-17,16, A Mt. Vernon Sq-bound Yellow Line train at Pentagon City was offloaded due to a brake problem. Customers experienced a 4-minute delay.,Yellow,Mt. Vernon Sq,a brake problem,4,10
2013-06-17,17, A Shady Grove-bound Red Line train at Friendship Heights was offloaded due to a brake problem. Customers experienced a 5-minute delay.,Red,Shady Grove,a brake problem,5,5
2013-06-17,18, A Shady Grove-bound Red Line train at Metro Center was delayed 5 minutes due to an operational problem.,Red,Shady Grove,an operational problem,5,5
2013-06-18,5, A Glenmont-bound Red Line train at Van Ness was offloaded due to an equipment problem. Customers experienced a 6-minute delay.,Red,Glenmont,an equipment problem,6,6
2013-06-18,6, A Largo Town Center-bound Blue Line train at King Street was offloaded due to a door problem. Customers experienced an 11-minute delay.,Blue,Largo Town Center,a door problem,11,11
2013-06-18,7, A Glenmont-bound Red Line train at Farragut North was offloaded due to a door problem. Customers experienced a 6-minute delay.,Red,Glenmont,a door problem,6,11
2013-06-18,8, A Glenmont-bound Red Line train at Twinbrook was delayed 5 minutes due to an equipment problem.,Red,Glenmont,an equipment problem,5,14
2013-06-18,10, A Shady Grove-bound Red Line train at Van Ness was delayed 4 minutes due to a suspicious package.,Red,Shady Grove,a suspicious package,4,4
2013-06-18,11, A Shady Grove-bound Red Line train at Twinbrook was delayed 8 minutes due to police activity.,Red,Shady Grove,police activity,8,8
2013-06-18,13," A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service.",Orange,New Carrollton,did not operate,6,6
2013-06-18,17, A Franconia-Springfield-bound Blue Line train at Potomac Avenue was offloaded due to a brake problem. Customers experienced a 12-minute delay.,Blue,Franconia-Springfield,a brake problem,12,18
2013-06-19,6, A New Carrollton-bound Orange Line train at West Falls Church was offloaded due to a door problem. Customers experienced a 3-minute delay.,Orange,New Carrollton,a door problem,3,3
2013-06-19,7, A Glenmont-bound Red Line train at Tenleytown was offloaded due to a brake problem. Customers experienced a 3-minute delay.,Red,Glenmont,a brake problem,3,9
2013-06-19,8, A New Carrollton-bound Orange Line train at McPherson Square was delayed 6 minutes due to a door problem.,Orange,New Carrollton,a door problem,6,16
2013-06-19,9, A Glenmont-bound Red Line train at Rhode Island Avenue was delayed 6 minutes due to a signal problem.,Red,Glenmont,a signal problem,6,6
2013-06-19,10, A Vienna-bound Orange Line train at East Falls Church was offloaded due to a brake problem. Customers experienced an 8-minute delay.,Orange,Vienna,a brake problem,8,13
2013-06-19,11, A Silver Spring-bound Red Line train at Friendship Heights was delayed 5 minutes due to striking an object on the track.,Red,Silver Spring,striking an object on the track,5,5
2013-06-19,14, A Shady Grove-bound Red Line train at Farragut North was offloaded due to a sick customer. Customers experienced a 6-minute delay.,Red,Shady Grove,a sick customer,6,6
2013-06-19,15," A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service.",Green,Greenbelt,did not operate,6,6
2013-06-19,17, A Glenmont-bound Red Line train at Wheaton was expressed for schedule adherence/improved train spacing.,Red,Glenmont,expressed for schedule adherence/improved train spacing,,
2013-06-20,6, A Fort Totten-bound Yellow Line train at Mt. Vernon Square was offloaded due to a brake problem. Customers experienced a 6-minute delay.,Yellow,Fort Totten,a brake problem,6,6
2013-06-20,14, A Vienna-bound Orange Line train at Minnesota Avenue was delayed 6 minutes due to smoldering debris on the track.,Orange,Vienna,smoldering debris on the track,6,6
2013-06-20,15, A Glenmont-bound Red Line train at Medical Center was offloaded due to a brake problem. Customers experienced a 7-minute delay.,Red,Glenmont,a brake problem,7,7
2013-06-20,16, A Glenmont-bound Red Line train at Tenleytown was offloaded due to a brake problem. Customers experienced a 3-minute delay.,Red,Glenmont,a brake problem,3,3
2013-06-20,17, A Shady Grove-bound Red Line train at Twinbrook was expressed for schedule adherence/improved train spacing.,Red,Shady Grove,expressed for schedule adherence/improved train spacing,,
2013-06-20,19, A Fort Totten-bound Yellow Line train at U Street was offloaded due to a power problem. Customers experienced a 16-minute delay.,Yellow,Fort Totten,a power problem,16,16
2013-06-20,20, A Greenbelt-bound Green Line train at Columbia Heights was offloaded due to an unauthorized person on the track. Several trains were single tracked around the incident train. Customers experienced a 12-minute delay.,Green,Greenbelt,an unauthorized person on the track,12,12
2013-06-20,22, A Greenbelt-bound Green Line train at Branch Avenue was offloaded due to a brake problem. Customers experienced an 8-minute delay.,Green,Greenbelt,a brake problem,8,8
2013-06-21,5, A New Carrollton-bound Orange Line train at Minnesota Avenue was offloaded due to a brake problem. Customers experienced a 9-minute delay.,Orange,New Carrollton,a brake problem,9,9
